"Time","C++","PHP","R","JavaScript","Python","Java"
"2016-05-01",30,28,13,31,28,83
"2016-06-01",29,28,14,31,31,87
"2016-07-01",27,28,13,31,30,84
"2016-08-01",32,29,14,32,32,90
"2016-09-01",37,31,15,32,36,94
"2016-10-01",42,29,19,33,37,95
"2016-11-01",43,32,18,34,36,100
"2016-12-01",38,30,20,34,39,91
"2017-01-01",0,0,0,0,0,0
"2017-02-01",0,0,0,0,0,0
"2017-03-01",0,0,0,0,0,0
"2017-04-01",0,0,0,0,0,0
"2017-05-01",0,0,0,0,0,0
"2017-06-01",0,0,0,0,0,0
"2017-07-01",0,0,0,0,0,0
"2017-08-01",14,14,18,15,22,43
"2017-09-01",17,15,18,17,24,49
"2017-10-01",19,16,18,17,25,50
"2017-11-01",22,16,14,18,25,49
"2017-12-01",18,15,16,16,23,44
"2018-01-01",17,16,16,17,25,42
"2018-02-01",18,16,16,19,27,48
"2018-03-01",17,15,15,19,27,44
"2018-04-01",18,16,15,19,27,42
"2018-05-01",17,15,16,19,28,42
"2018-06-01",14,14,16,17,29,37
"2018-07-01",13,13,14,18,28,41
"2018-08-01",14,14,13,18,27,41
"2018-09-01",18,13,15,18,29,45
"2018-10-01",19,13,16,19,31,42
"2018-11-01",19,13,17,19,30,42
"2018-12-01",18,12,17,17,28,39
"2019-01-01",16,13,17,19,31,40
"2019-02-01",17,13,18,20,33,38
"2019-03-01",17,14,17,19,34,40
"2019-04-01",16,13,18,19,32,36
"2019-05-01",16,14,16,20,33,36
"2019-06-01",14,13,17,20,36,36
"2019-07-01",15,13,16,21,37,38
"2019-08-01",15,11,15,19,34,38
"2019-09-01",19,13,14,20,40,40
"2019-10-01",20,13,15,20,43,41
"2019-11-01",19,13,15,21,41,43
"2019-12-01",18,13,15,21,39,38
"2020-01-01",16,12,14,22,41,39
"2020-02-01",18,13,15,23,44,43
"2020-03-01",18,12,15,23,46,39
"2020-04-01",17,13,15,25,52,35
"2020-05-01",16,12,15,24,49,33
"2020-06-01",16,12,16,24,49,35
"2020-07-01",13,11,15,25,44,33
"2020-08-01",15,10,15,25,46,33
"2020-09-01",17,11,16,25,51,37
"2020-10-01",19,11,16,24,46,36
"2020-11-01",19,11,14,24,47,39
"2020-12-01",18,11,14,24,47,35
"2021-01-01",18,11,15,27,45,39
"2021-02-01",20,12,15,29,50,42
"2021-03-01",26,12,14,29,54,47
"2021-04-01",24,13,15,30,55,44
"2021-05-01",23,12,15,31,53,43
"2021-06-01",23,12,15,33,55,48
"2021-07-01",18,11,14,33,49,45
"2021-08-01",17,11,14,32,48,46
"2021-09-01",21,11,14,33,52,52
"2021-10-01",22,12,14,31,57,54
"2021-11-01",22,11,14,30,53,52
"2021-12-01",24,12,13,31,54,49
"2022-01-01",22,12,13,33,57,51
"2022-02-01",22,12,14,36,62,54
"2022-03-01",24,13,15,38,63,56
"2022-04-01",24,16,14,38,59,54
"2022-05-01",24,14,15,39,60,56
"2022-06-01",22,15,14,41,64,59
"2022-07-01",20,13,13,40,62,68
"2022-08-01",24,12,12,41,63,69
"2022-09-01",28,13,13,42,67,73
"2022-10-01",27,13,14,39,69,67
"2022-11-01",29,14,16,44,73,70
"2022-12-01",26,13,19,41,63,65
"2023-01-01",22,15,19,45,69,54
"2023-02-01",22,24,17,48,75,59
"2023-03-01",22,17,17,49,73,62
"2023-04-01",19,15,17,47,68,59
"2023-05-01",19,16,18,48,66,60
"2023-06-01",18,15,16,46,62,58
"2023-07-01",17,14,18,46,63,57
"2023-08-01",18,13,16,46,66,62
"2023-09-01",21,13,16,46,69,65
"2023-10-01",21,14,15,45,69,63
"2023-11-01",21,14,16,43,70,62
"2023-12-01",21,13,15,43,65,62
"2024-01-01",22,15,15,45,67,65
"2024-02-01",20,20,15,49,71,79
"2024-03-01",18,15,16,48,70,73
"2024-04-01",19,14,17,51,68,71
"2024-05-01",20,18,17,47,66,71
"2024-06-01",17,14,20,42,60,79
"2024-07-01",16,12,20,44,64,82
"2024-08-01",17,11,20,42,62,78
"2024-09-01",20,11,20,44,74,75
"2024-10-01",19,11,19,41,71,72
"2024-11-01",19,11,19,37,66,68
"2024-12-01",17,10,20,36,66,67
"2025-01-01",17,10,22,42,70,69
"2025-02-01",17,9,22,40,68,79
"2025-03-01",16,9,22,37,66,84
"2025-04-01",15,9,21,34,59,84
"2025-05-01",16,13,22,34,62,82
"2025-06-01",14,7,21,32,65,74
"2025-07-01",13,8,20,31,59,70
"2025-08-01",13,7,21,30,59,76
"2025-09-01",13,6,20,26,58,59
"2025-10-01",13,6,20,25,55,65
"2025-11-01",15,7,21,25,55,72
"2025-12-01",14,7,22,26,57,71
"2026-01-01",12,5,22,23,53,69
"2026-02-01",12,5,22,23,56,68
"2026-03-01",12,5,21,20,51,64
"2026-04-01",13,5,22,22,54,62
"2026-05-01",11,5,20,20,52,61
"2026-06-01",12,5,19,25,63,72
"2026-07-01",12,5,20,28,59,62
"2026-08-01",11,5,20,23,63,71
"2026-09-01",11,4,19,22,63,65
