"Time","C++","PHP","R","JavaScript","Python","Java"
"2011-09-01",9,14,4,14,5,36
"2011-10-01",9,14,4,13,5,39
"2011-11-01",9,15,4,13,5,37
"2011-12-01",8,13,4,13,5,36
"2012-01-01",8,13,4,13,5,35
"2012-02-01",8,14,4,13,5,35
"2012-03-01",8,15,4,14,6,36
"2012-04-01",8,14,4,13,5,37
"2012-05-01",8,14,4,13,5,35
"2012-06-01",7,14,4,14,5,34
"2012-07-01",7,14,4,13,5,36
"2012-08-01",7,13,4,13,5,34
"2012-09-01",8,13,4,13,5,39
"2012-10-01",8,13,5,13,6,38
"2012-11-01",8,12,4,12,6,37
"2012-12-01",7,11,4,11,5,32
"2013-01-01",7,12,4,13,5,40
"2013-02-01",7,13,4,13,6,39
"2013-03-01",7,13,4,13,6,39
"2013-04-01",7,13,4,13,6,37
"2013-05-01",7,12,4,13,6,35
"2013-06-01",7,12,4,12,6,34
"2013-07-01",6,12,4,13,6,37
"2013-08-01",6,11,4,12,6,35
"2013-09-01",7,11,4,12,6,36
"2013-10-01",8,11,4,12,6,39
"2013-11-01",8,11,4,14,7,37
"2013-12-01",7,11,4,12,6,34
"2014-01-01",7,11,4,12,6,35
"2014-02-01",7,12,4,13,7,38
"2014-03-01",7,12,4,13,7,36
"2014-04-01",7,12,5,14,7,38
"2014-05-01",6,11,4,14,7,36
"2014-06-01",6,11,4,13,6,35
"2014-07-01",6,11,4,13,6,35
"2014-08-01",6,10,4,12,6,34
"2014-09-01",7,11,4,13,7,34
"2014-10-01",8,11,4,13,7,33
"2014-11-01",7,10,4,12,7,36
"2014-12-01",6,10,4,12,6,31
"2015-01-01",6,10,4,12,7,31
"2015-02-01",7,11,4,14,7,33
"2015-03-01",7,11,4,14,7,32
"2015-04-01",7,11,5,14,7,34
"2015-05-01",6,10,4,13,7,31
"2015-06-01",6,10,4,13,8,29
"2015-07-01",5,10,4,14,8,29
"2015-08-01",5,9,4,13,7,29
"2015-09-01",7,10,4,13,8,29
"2015-10-01",7,10,4,14,8,29
"2015-11-01",7,9,4,12,8,29
"2015-12-01",6,9,4,13,8,26
"2016-01-01",6,9,4,13,8,23
"2016-02-01",7,10,5,14,9,26
"2016-03-01",6,10,4,14,10,25
"2016-04-01",7,10,4,14,9,24
"2016-05-01",6,10,4,15,9,24
"2016-06-01",6,10,4,14,10,24
"2016-07-01",5,9,4,14,9,22
"2016-08-01",5,9,4,13,9,22
"2016-09-01",7,9,4,14,10,25
"2016-10-01",7,9,4,13,11,22
"2016-11-01",7,11,5,15,12,25
"2016-12-01",6,11,5,14,11,23
"2017-01-01",6,12,5,15,12,23
"2017-02-01",7,13,6,15,14,25
"2017-03-01",8,13,6,16,14,26
"2017-04-01",7,12,6,15,13,23
"2017-05-01",7,12,6,15,13,23
"2017-06-01",6,11,5,15,13,22
"2017-07-01",5,11,5,15,13,21
"2017-08-01",5,10,5,15,13,21
"2017-09-01",6,10,5,15,14,22
"2017-10-01",7,11,6,15,14,22
"2017-11-01",7,11,6,15,15,22
"2017-12-01",7,9,5,13,14,19
"2018-01-01",6,10,5,14,14,20
"2018-02-01",7,10,6,15,15,20
"2018-03-01",7,10,5,14,16,20
"2018-04-01",6,9,5,14,15,20
"2018-05-01",6,9,5,15,15,20
"2018-06-01",5,8,5,14,15,19
"2018-07-01",5,9,4,14,15,18
"2018-08-01",5,8,4,14,15,19
"2018-09-01",6,8,5,13,16,19
"2018-10-01",7,8,5,14,16,18
"2018-11-01",6,8,5,14,17,18
"2018-12-01",5,7,5,12,15,15
"2019-01-01",5,7,5,13,16,17
"2019-02-01",6,8,5,14,17,18
"2019-03-01",6,8,5,13,17,17
"2019-04-01",5,7,5,14,17,17
"2019-05-01",5,7,5,13,17,17
"2019-06-01",5,8,5,14,18,17
"2019-07-01",5,8,5,14,18,17
"2019-08-01",5,7,4,14,17,17
"2019-09-01",6,7,5,14,19,18
"2019-10-01",6,7,5,13,19,18
"2019-11-01",7,7,5,14,20,17
"2019-12-01",5,6,4,13,17,15
"2020-01-01",5,7,4,13,18,15
"2020-02-01",6,7,5,13,20,17
"2020-03-01",5,7,4,13,19,15
"2020-04-01",6,6,5,13,21,16
"2020-05-01",5,6,5,12,20,14
"2020-06-01",5,7,4,13,19,15
"2020-07-01",5,6,4,13,19,15
"2020-08-01",5,6,4,13,18,13
"2020-09-01",6,6,5,13,20,15
"2020-10-01",5,5,4,11,16,13
"2020-11-01",5,5,4,10,16,13
"2020-12-01",5,5,4,9,15,12
"2021-01-01",4,5,4,9,14,11
"2021-02-01",5,5,4,10,16,13
"2021-03-01",6,5,4,10,17,13
"2021-04-01",5,5,4,11,17,13
"2021-05-01",5,5,4,10,16,12
"2021-06-01",5,5,4,11,16,12
"2021-07-01",4,5,4,10,15,12
"2021-08-01",4,5,3,10,15,11
"2021-09-01",5,4,4,11,17,13
"2021-10-01",6,5,4,11,19,13
"2021-11-01",6,5,4,11,20,13
"2021-12-01",5,5,4,11,18,13
"2022-01-01",7,6,4,15,23,16
"2022-02-01",8,7,5,17,27,18
"2022-03-01",9,7,5,18,29,20
"2022-04-01",8,7,5,18,28,18
"2022-05-01",8,7,5,17,28,17
"2022-06-01",7,7,4,17,25,16
"2022-07-01",6,6,4,17,24,16
"2022-08-01",6,6,4,17,24,16
"2022-09-01",8,6,5,17,27,18
"2022-10-01",8,6,5,16,27,16
"2022-11-01",8,6,5,17,28,17
"2022-12-01",7,6,4,16,25,15
"2023-01-01",7,6,4,16,26,15
"2023-02-01",7,7,5,17,28,17
"2023-03-01",7,7,5,17,27,16
"2023-04-01",6,6,4,14,24,14
"2023-05-01",6,6,4,14,23,15
"2023-06-01",5,6,4,15,22,14
"2023-07-01",5,6,4,15,22,14
"2023-08-01",5,5,4,14,23,14
"2023-09-01",6,5,4,14,24,14
"2023-10-01",6,6,4,14,25,15
"2023-11-01",6,5,4,13,24,13
"2023-12-01",5,5,4,12,21,13
"2024-01-01",6,5,4,14,23,14
"2024-02-01",6,6,4,15,27,16
"2024-03-01",6,6,4,15,24,15
"2024-04-01",6,6,4,14,23,14
"2024-05-01",6,5,4,14,23,15
"2024-06-01",5,5,4,13,22,13
"2024-07-01",5,5,3,13,22,14
"2024-08-01",5,5,3,12,21,13
"2024-09-01",5,5,4,12,21,13
"2024-10-01",6,5,4,11,23,13
"2024-11-01",6,4,3,11,22,12
"2024-12-01",5,4,3,11,21,11
"2025-01-01",5,4,3,11,20,12
"2025-02-01",5,4,3,12,21,13
"2025-03-01",5,4,3,11,21,12
"2025-04-01",4,4,3,10,19,12
"2025-05-01",4,3,3,9,18,11
"2025-06-01",4,3,3,9,19,11
"2025-07-01",4,3,3,9,19,12
"2025-08-01",4,4,3,11,23,11
"2025-09-01",5,4,3,10,22,11
"2025-10-01",5,4,3,10,24,11
"2025-11-01",4,4,4,10,23,11
"2025-12-01",4,3,3,9,19,10
"2026-01-01",4,4,3,10,21,11
"2026-02-01",5,4,4,12,25,12
"2026-03-01",5,4,3,12,25,11
"2026-04-01",5,5,3,14,26,13
"2026-05-01",6,6,3,16,31,15
"2026-06-01",5,6,3,17,31,15
"2026-07-01",4,5,3,14,24,11
"2026-08-01",4,3,3,9,16,10
"2026-09-01",4,3,3,10,20,10
